ID,Latitude,Longitude,rainfall_total_30d_mm,rainfall_mean_daily_mm,rainfall_max_daily_mm,rainfall_std_daily_mm,rainfall_7d_mm,rainfall_15d_mm,rainfall_30d_mm,rainfall_max_7d_mm,rainfall_max_15d_mm,rainfall_max_30d_mm
SLD00001,8.49,77.39,4.818070846027695,0.1606023615342565,2.0717475414276123,0.4032402109423217,2.588008239865303,2.588008239865303,4.818070846027695,2.0717475414276123,2.0717475414276123,2.0717475414276123
SLD00002,8.507778,77.189722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD00003,8.507833,77.189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD00004,8.508861,77.1575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD00005,8.509833,77.169139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD00006,8.510528,77.157944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD00007,8.519028,77.16775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD00008,8.54,77.47,3.4357693477068096,0.1145256449235603,2.0569183826446533,0.3871211514112387,2.0569183826446533,2.0569183826446533,3.4357693477068096,2.0569183826446533,2.0569183826446533,2.0569183826446533
SLD00009,8.54,77.47,3.4357693477068096,0.1145256449235603,2.0569183826446533,0.3871211514112387,2.0569183826446533,2.0569183826446533,3.4357693477068096,2.0569183826446533,2.0569183826446533,2.0569183826446533
SLD00010,8.54,77.47,3.4357693477068096,0.1145256449235603,2.0569183826446533,0.3871211514112387,2.0569183826446533,2.0569183826446533,3.4357693477068096,2.0569183826446533,2.0569183826446533,2.0569183826446533
SLD00011,8.56,77.4,12.469514451920986,0.4156504817306995,4.0226359367370605,1.0580583591972914,4.0226359367370605,4.396210193634033,12.469514451920986,4.0226359367370605,4.0226359367370605,4.0226359367370605
SLD00012,8.58,77.43,10.500905222259462,0.3500301740753154,4.3032426834106445,0.9237427839806632,2.750070571899414,2.750070571899414,10.500905222259462,2.750070571899414,2.750070571899414,4.3032426834106445
SLD00013,8.588778,77.099083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD00014,8.59,77.35,10.612583252601326,0.3537527750867108,2.2292685508728027,0.663141514390521,2.85688579082489,2.85688579082489,10.612583252601326,1.8180181980133057,1.8180181980133057,2.2292685508728027
