ID,Latitude,Longitude,2022-01-01,2022-01-02,2022-01-03,2022-01-04,2022-01-05,2022-01-06,2022-01-07,2022-01-08,2022-01-09,2022-01-10,2022-01-11,2022-01-12,2022-01-13,2022-01-14,2022-01-15,2022-01-16,2022-01-17,2022-01-18,2022-01-19,2022-01-20,2022-01-21,2022-01-22,2022-01-23,2022-01-24,2022-01-25,2022-01-26,2022-01-27,2022-01-28,2022-01-29,2022-01-30
SLD_00001,8.49,77.39,0.5087743401527405,0.12623077630996704,0.004839158616960049,0.0018818950047716498,0.005645685363560915,0.13591261208057404,0.13591261208057404,0.8154757022857666,0.13591261208057404,0.13591261208057404,0.0,0.002135967370122671,0.0,0.22142863273620605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2346639484167099,2.0717475414276123,0.28159675002098083,0.0,0.0
SLD_00002,8.507778,77.189722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD_00003,8.507833,77.189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD_00004,8.508861,77.1575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD_00005,8.509833,77.169139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD_00006,8.510528,77.157944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD_00007,8.519028,77.16775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD_00008,8.54,77.47,0.5694831013679504,0.15429168939590454,0.013461058028042316,0.002168340841308236,0.006505022756755352,0.0632941722869873,0.0632941722869873,0.3797650635242462,0.0632941722869873,0.0632941722869873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0569183826446533,0.0,0.0,0.0
SLD_00009,8.54,77.47,0.5694831013679504,0.15429168939590454,0.013461058028042316,0.002168340841308236,0.006505022756755352,0.0632941722869873,0.0632941722869873,0.3797650635242462,0.0632941722869873,0.0632941722869873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0569183826446533,0.0,0.0,0.0
SLD_00010,8.54,77.47,0.5694831013679504,0.15429168939590454,0.013461058028042316,0.002168340841308236,0.006505022756755352,0.0632941722869873,0.0632941722869873,0.3797650635242462,0.0632941722869873,0.0632941722869873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0569183826446533,0.0,0.0,0.0
SLD_00011,8.56,77.4,2.3985788822174072,0.4827015995979309,0.044786740094423294,0.017417065799236298,0.05225120112299919,0.0,0.0,3.644421339035034,0.0,0.0,0.0,0.0,0.0,1.4331474304199219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37357425689697266,0.0,0.0,0.0,4.0226359367370605,0.0,0.0,0.0
SLD_00012,8.58,77.43,4.3032426834106445,1.1825230121612549,0.07348072528839111,0.008127552457153797,0.024382660165429115,0.18157732486724854,0.6355206370353699,0.6355206370353699,0.18157732486724854,0.18157732486724854,0.051495715975761414,0.051495715975761414,0.051495715975761414,0.13732190430164337,0.051495715975761414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.750070571899414,0.0,0.0,0.0
SLD_00013,8.588778,77.099083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD_00014,8.59,77.35,2.2292685508728027,0.4478532373905182,0.010102345608174801,0.00392869021743536,0.01178607065230608,0.0,1.8231842517852783,1.8231842517852783,0.0,0.0,0.08746206760406494,0.13819006085395813,0.07031950354576111,1.0376499891281128,0.0727684423327446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2597168982028961,1.8180181980133057,0.2597168982028961,0.2597168982028961,0.2597168982028961
SLD_00015,8.59,77.35,2.2292685508728027,0.4478532373905182,0.010102345608174801,0.00392869021743536,0.01178607065230608,0.0,1.8231842517852783,1.8231842517852783,0.0,0.0,0.08746206760406494,0.13819006085395813,0.07031950354576111,1.0376499891281128,0.0727684423327446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2597168982028961,1.8180181980133057,0.2597168982028961,0.2597168982028961,0.2597168982028961
SLD_00016,8.64294,77.0712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD_00017,8.703,77.114472,0.09095628559589386,0.10022234171628952,0.0,0.0,0.003866099752485752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38251495361328125,0.0,0.0,0.0
SLD_00018,8.711083,77.143339,2.0943620204925537,1.034250020980835,0.0,0.0,0.06458456069231033,0.0,1.939084768295288,0.0,3.3080861568450928,1.8087345361709595,0.2454456239938736,0.3279057741165161,0.0,0.5147379636764526,0.0,0.0,0.0,0.0,0.0,0.0,0.00514060677960515,0.00514060677960515,0.0822497084736824,0.00514060677960515,0.00514060677960515,0.2598838806152344,1.8191871643066406,0.2598838806152344,0.2598838806152344,0.2598838806152344
SLD_00019,8.74275,77.13425,2.8847644329071045,1.184187889099121,0.0,0.0,0.17153337597846985,0.0,2.0641677379608154,0.0,5.923770427703857,4.959674835205078,0.26166585087776184,1.0232986211776733,0.0,0.41284096240997314,0.0,0.0,0.0,0.0,0.0,0.0,0.10761701315641403,0.10761701315641403,0.645702064037323,0.10761701315641403,0.10761701315641403,0.39158308506011963,2.741081714630127,0.39158308506011963,0.39158308506011963,0.39158308506011963
SLD_00020,8.742944,77.132194,2.8847644329071045,1.184187889099121,0.0,0.0,0.17153337597846985,0.0,2.0641677379608154,0.0,5.923770427703857,4.959674835205078,0.26166585087776184,1.0232986211776733,0.0,0.41284096240997314,0.0,0.0,0.0,0.0,0.0,0.0,0.10761701315641403,0.10761701315641403,0.645702064037323,0.10761701315641403,0.10761701315641403,0.39158308506011963,2.741081714630127,0.39158308506011963,0.39158308506011963,0.39158308506011963
SLD_00021,8.743139,77.161028,2.8847644329071045,1.184187889099121,0.0,0.0,0.17153337597846985,0.0,2.0641677379608154,0.0,5.923770427703857,4.959674835205078,0.26166585087776184,1.0232986211776733,0.0,0.41284096240997314,0.0,0.0,0.0,0.0,0.0,0.0,0.10761701315641403,0.10761701315641403,0.645702064037323,0.10761701315641403,0.10761701315641403,0.39158308506011963,2.741081714630127,0.39158308506011963,0.39158308506011963,0.39158308506011963
SLD_00022,8.747056,77.132944,2.8847644329071045,1.184187889099121,0.0,0.0,0.17153337597846985,0.0,2.0641677379608154,0.0,5.923770427703857,4.959674835205078,0.26166585087776184,1.0232986211776733,0.0,0.41284096240997314,0.0,0.0,0.0,0.0,0.0,0.0,0.10761701315641403,0.10761701315641403,0.645702064037323,0.10761701315641403,0.10761701315641403,0.39158308506011963,2.741081714630127,0.39158308506011963,0.39158308506011963,0.39158308506011963
