ID,Category,Latitude,Longitude
SLD_04149,Landslide,13.05,74.97
SLD_04150,Landslide,13.05,75.0
SLD_04151,Landslide,13.059447,75.5541
SLD_04152,Landslide,13.059447,75.5541
SLD_04153,Landslide,13.06,74.98
SLD_04154,Landslide,13.06,74.97
SLD_04155,Landslide,13.065758,75.435336
SLD_04156,Landslide,13.066495,75.435351
SLD_04157,Landslide,13.067444,75.472
SLD_04158,Landslide,13.067861,75.47311111
SLD_04159,Landslide,13.068361,75.47297222
SLD_04160,Landslide,13.068444,75.46966667
SLD_04161,Landslide,13.068972,75.47333333
SLD_04162,Landslide,13.07,74.92
SLD_04163,Landslide,13.070123,75.445311
SLD_04164,Landslide,13.071889,75.46511111
SLD_04165,Landslide,13.072583,75.46263889
SLD_04166,Landslide,13.072806,75.47608333
SLD_04167,Landslide,13.072806,75.47383333
SLD_04168,Landslide,13.073528,75.47678333
SLD_04169,Landslide,13.073728,75.47702778
SLD_04170,Landslide,13.073861,75.46244444
SLD_04171,Landslide,13.074028,75.47705556
SLD_04172,Landslide,13.074473,75.449953
SLD_04173,Landslide,13.074591,75.449367
SLD_04174,Landslide,13.074694,75.46266667
SLD_04175,Landslide,13.074781,75.457356
SLD_04176,Landslide,13.074944,75.46152778
SLD_04177,Landslide,13.074956,75.456846
SLD_04178,Landslide,13.075007,75.457789
SLD_04179,Landslide,13.075048,75.456283
SLD_04180,Landslide,13.075112,75.458339
SLD_04181,Landslide,13.075209,75.450247
SLD_04182,Landslide,13.075297,75.452491
SLD_04183,Landslide,13.075421,75.458686
SLD_04184,Landslide,13.075437,75.452689
SLD_04185,Landslide,13.075631,75.45381
SLD_04186,Landslide,13.075699,75.469923
SLD_04187,Landslide,13.075713,75.45596
SLD_04188,Landslide,13.075714,75.456818
SLD_04189,Landslide,13.075811,75.450901
SLD_04190,Landslide,13.07595,75.470398
SLD_04191,Landslide,13.076021,75.471532
SLD_04192,Landslide,13.076028,75.46038889
SLD_04193,Landslide,13.076035,75.470727
SLD_04194,Landslide,13.076068,75.452914
SLD_04195,Landslide,13.076139,75.45528889
SLD_04196,Landslide,13.076433,75.45611111
SLD_04197,Landslide,13.076503,75.455661
SLD_04198,Landslide,13.076509,75.471719
SLD_04199,Landslide,13.076512,75.457142
SLD_04200,Landslide,13.076725,75.45168889
SLD_04201,Landslide,13.076911,75.456287
SLD_04202,Landslide,13.077058,75.472049
SLD_04203,Landslide,13.077069,75.46840833
SLD_04204,Landslide,13.077347,75.45615
SLD_04205,Landslide,13.077621,75.47113778
SLD_04206,Landslide,13.07768,75.47156056
SLD_04207,Landslide,13.077811,75.45585
SLD_04208,Landslide,13.07799,75.461824
SLD_04209,Landslide,13.07801,75.47206139
SLD_04210,Landslide,13.078082,75.460441
SLD_04211,Landslide,13.078177,75.46159
