ID,Category,Latitude,Longitude
SLD_05001,Landslide,13.93,75.14
SLD_05002,Landslide,13.93,75.21
SLD_05003,Landslide,13.93,75.18
SLD_05004,Landslide,13.93,75.18
SLD_05005,Landslide,13.93,75.18
SLD_05006,Landslide,13.93,75.15
SLD_05007,Landslide,13.94,74.88
SLD_05008,Landslide,13.94,74.88
SLD_05009,Landslide,13.94,74.88
SLD_05010,Landslide,13.94,74.83
SLD_05011,Landslide,13.94,74.78
SLD_05012,Landslide,13.94,74.85
SLD_05013,Landslide,13.94,74.66
SLD_05014,Landslide,13.94,74.66
SLD_05015,Landslide,13.94,75.21
SLD_05016,Landslide,13.95,74.89
SLD_05017,Landslide,13.95,74.9
SLD_05018,Landslide,13.95,74.9
SLD_05019,Landslide,13.95,74.86
SLD_05020,Landslide,13.95,74.85
SLD_05021,Landslide,13.95,74.86
SLD_05022,Landslide,13.95,74.78
SLD_05023,Landslide,13.95,75.1
SLD_05024,Landslide,13.95,75.08
SLD_05025,Landslide,13.96,75.15
SLD_05026,Landslide,13.96,75.26
SLD_05027,Landslide,13.96,75.07
SLD_05028,Landslide,13.97,75.15
SLD_05029,Landslide,13.97,75.15
SLD_05030,Landslide,13.98,74.89
SLD_05031,Landslide,13.98,74.72
SLD_05032,Landslide,13.98,75.14
SLD_05033,Landslide,13.98,75.09
SLD_05034,Landslide,13.98,75.06
SLD_05035,Landslide,13.98,75.05
SLD_05036,Landslide,13.99,74.81
SLD_05037,Landslide,13.99,75.11
SLD_05038,Landslide,13.99,75.03
SLD_05039,Landslide,14.001139,74.876667
SLD_05040,Landslide,14.002844,74.874947
SLD_05041,Landslide,14.00485,74.811661
SLD_05042,Landslide,14.007997,74.818453
SLD_05043,Landslide,14.009181,74.788264
SLD_05044,Landslide,14.010264,74.816386
SLD_05045,Landslide,14.012589,74.866664
SLD_05046,Landslide,14.013264,74.869131
SLD_05047,Landslide,14.014731,74.833011
SLD_05048,Landslide,14.020047,74.835033
SLD_05049,Landslide,14.023328,74.853125
SLD_05050,Landslide,14.023847,74.830247
SLD_05051,Landslide,14.028472,74.776253
SLD_05052,Landslide,14.031128,74.713639
SLD_05053,Landslide,14.036331,74.795128
SLD_05054,Landslide,14.049619,74.802394
SLD_05055,Landslide,14.049914,74.853911
SLD_05056,Landslide,14.052469,74.860161
SLD_05057,Landslide,14.058392,74.8035
SLD_05058,Landslide,14.059347,74.80565
SLD_05059,Landslide,14.06,75.04
SLD_05060,Landslide,14.062503,74.808583
SLD_05061,Landslide,14.065306,74.832344
SLD_05062,Landslide,14.073758,74.821681
SLD_05063,Landslide,14.077044,74.811725
SLD_05064,Landslide,14.079661,74.811728
SLD_05065,Landslide,14.080858,74.742881
SLD_05066,Landslide,14.080917,74.743478
SLD_05067,Landslide,14.09,75.0
SLD_05068,Landslide,14.091894,74.670994
SLD_05069,Landslide,14.096,74.675528
SLD_05070,Landslide,14.096253,74.678681
SLD_05071,Landslide,14.1,75.21
SLD_05072,Landslide,14.112739,74.980333
