S.No,Landslide,Sample_Type,Latitude,Longitude,State,District,Subdivision Or Taluk,Material Involved,Movement Type,Initiation_Year,History_date,Slide_Name,Elevation_m,Slope_deg,ID,rainfall_total_30d_mm,rainfall_mean_daily_mm,rainfall_max_daily_mm,rainfall_std_daily_mm,rainfall_7d_mm,rainfall_15d_mm,rainfall_30d_mm,rainfall_max_7d_mm,rainfall_max_15d_mm,rainfall_max_30d_mm,NDVI_mean,NDVI_std,NDVI_min,NDVI_max,NDVI_valid_observations,NDVI_range,Land_Cover_Type,Land_Cover_QC,Soil_clay_0_5cm,Soil_sand_0_5cm,Soil_silt_0_5cm,Soil_soc_0_5cm,Soil_bdod_0_5cm,Soil_phh2o_0_5cm
5742,1,1,13.88,74.81,Karnataka,Udupi,Bainduru,Soil,Slide,,,"1.27 Km North of Kollur along Kollur-
Nagodi road",104.63111877441406,18.489885565247857,SLD04877,0.228112274780869,0.0076037424926956,0.0238268580287694,0.010953395077308,0.1627254839986558,0.228112274780869,0.228112274780869,0.0238268580287694,0.0238268580287694,0.0238268580287694,0.8381625,0.0278924810656922,0.7907,0.9065,16,0.1158,2.0,0.0,19.5,48.6,19.4,19.0,1.26,5.5
39782,0,0,10.249652,77.615063,Western Ghats Region,Background / Unspecified,,,,,,,950.0325317382812,19.78633855211262,SLD12222,5.704408064484596,0.1901469354828198,4.788574695587158,0.8786383355067889,0.0,0.0,5.704408064484596,0.0,0.0,4.788574695587158,0.82363,0.0753590011387596,0.6304,0.9,20,0.2696,2.0,0.0,21.7,36.4,23.9,29.3,1.2,5.9
37887,0,0,10.368003,76.861163,Western Ghats Region,Background / Unspecified,,,,,,,612.2826538085938,14.255825957418514,SLD10476,10.064490536227822,0.3354830178742607,3.974232912063599,0.7910969853261438,0.278092924505472,0.3599324915558095,10.064490536227822,0.0477423034608364,0.0477423034608364,3.974232912063599,0.7674,0.0846207066857752,0.625,0.921,16,0.296,2.0,0.0,22.5,43.0,19.0,26.5,1.1,5.3
1986,1,1,10.2,77.12,Kerala,Idukki,Devikulam,Rock,Slide,,,Mankulam,1367.3768310546875,22.27768775273,SLD01970,6.905933428555727,0.2301977809518575,2.259639978408813,0.5483153939150635,0.0,0.0,6.905933428555727,0.0,0.0,2.259639978408813,0.72983,0.0518418861336539,0.6293,0.8329,20,0.2036,9.0,0.0,28.3,34.5,28.3,34.3,1.04,5.4
2789,1,1,10.863736,76.602972,Kerala,Palakkad,Palakkad,Rock,Slide,,,,518.6026000976562,38.18958942017677,SLD02773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7535894736842105,0.108631077478556,0.5115,0.9231,19,0.4116000000000001,8.0,0.0,25.9,42.7,19.8,27.8,1.09,5.3
41427,0,0,15.967087,73.82583,Western Ghats Region,Background / Unspecified,,,,,,,212.0780487060547,21.87594260710423,SLD13739,0.2461324119940395,0.0082044137331346,0.0429903343319892,0.0159912905199437,0.0124722961336374,0.0311807403340935,0.2461324119940395,0.0062361480668187,0.0062361480668187,0.0429903343319892,0.7900625,0.0604910558126847,0.6363,0.8635,16,0.2272,2.0,0.0,23.7,34.5,19.1,20.9,1.29,5.5
34605,0,0,13.402525,75.956995,Western Ghats Region,Background / Unspecified,,,,,,,831.4545288085938,2.7215733318649606,SLD07434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5459444444444445,0.1302078393872983,0.1642,0.7355,18,0.5713,12.0,0.0,19.7,38.7,28.3,10.7,1.41,7.2
2340,1,1,10.351944,76.966111,Tamil Nadu,Coimbatore,Valparai,Soil,Slide,,,,1125.312255859375,11.8343497683664,SLD02324,6.090004362165928,0.2030001454055309,1.893643021583557,0.4146787619407569,0.0,0.0,6.090004362165928,0.0,0.0,1.893643021583557,0.7944,0.0704763182109524,0.6333,0.8744,15,0.2410999999999999,8.0,0.0,24.3,38.1,24.6,29.6,1.08,5.4
5088,1,1,13.097911,75.479737,Karnataka,Chikmagalur,Mudigere,Rock,Fall,,,South of Bidaratale,738.765380859375,29.992096768554244,SLD04268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7965599999999999,0.0250248390889646,0.751,0.84,15,0.0889999999999999,8.0,0.0,24.9,42.2,18.7,29.7,1.11,5.4
40876,0,0,9.693603,77.727528,Western Ghats Region,Background / Unspecified,,,,,,,158.2769775390625,3.1497628997881177,SLD13233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5490818181818182,0.0755492500127511,0.3979,0.6813,22,0.2834,12.0,0.0,31.5,32.2,21.6,17.0,1.48,7.2
35299,0,0,16.801804,73.583331,Western Ghats Region,Background / Unspecified,,,,,,,82.8093032836914,13.198441683874147,SLD08075,0.3923478350043294,0.0130782611668109,0.0784695670008659,0.02974381261192,0.0,0.0,0.3923478350043294,0.0,0.0,0.0784695670008659,0.6978611111111112,0.1244968798989563,0.4972,0.9217,18,0.4245,4.0,0.0,27.1,31.4,19.7,18.0,1.37,5.9
5484,1,1,13.6,75.31,Karnataka,Chikmangalur,Tirthahalli,Debris,Slide,,,South of Kalgudge Village/Koppa road,654.64794921875,8.591592548332516,SLD04664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7039266666666666,0.0620675607321417,0.6189,0.7956,15,0.1766999999999999,8.0,0.0,22.4,42.6,17.5,19.0,1.23,5.4
3245,1,1,11.336887,76.825922,Tamil Nadu,Nilgiri,Coonoor,Debris,Slide,,,,1149.345947265625,21.639329473729145,SLD03228,60.16740119457245,2.005580039819081,25.32343864440918,4.769366179149952,7.467418909072876,14.586844086647034,60.16740119457245,5.580452919006348,5.580452919006348,25.32343864440918,0.8304230769230769,0.03358869238911,0.7625,0.8724,13,0.1099,2.0,0.0,31.0,35.9,22.3,27.8,1.1,5.6
40805,0,0,15.73176,74.73424,Western Ghats Region,Background / Unspecified,,,,,,,642.3367919921875,1.263305860025974,SLD13166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5222736842105263,0.1565139214330123,0.2126,0.7974,19,0.5848,12.0,0.0,41.0,28.0,20.0,11.7,1.4,6.5
37236,0,0,16.429612,73.452431,Western Ghats Region,Background / Unspecified,,,,,,,80.94673919677734,1.791443396607163,SLD09876,0.1242569647729395,0.0041418988257646,0.0248513929545879,0.0094198961895418,0.0,0.0,0.1242569647729395,0.0,0.0,0.0248513929545879,0.4050249999999999,0.1256248091209163,0.2917,0.7338,16,0.4421,10.0,0.0,17.8,40.3,22.1,15.0,1.48,6.1
1660,1,1,10.08,76.96,Kerala,Idukki,Devikulam,Debris,Slide,2018.0,,Aanakkulam,1150.9644775390625,0.938162888273905,SLD01644,2.048226062674076,0.0682742020891358,1.0134493112564087,0.2194663478054256,0.0,0.0,2.048226062674076,0.0,0.0,1.0134493112564087,0.8001294117647059,0.0319441067472915,0.7402,0.849,17,0.1088,8.0,0.0,29.6,32.1,28.1,33.4,1.03,5.2
34262,0,0,18.710329,73.744055,Western Ghats Region,Background / Unspecified,,,,,,,573.4788818359375,7.196269189491433,SLD07124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4796388888888889,0.1002696842279031,0.3564,0.7457,18,0.3893,12.0,0.0,23.3,33.7,19.3,10.9,1.59,6.5
40488,0,0,12.724448,76.268746,Western Ghats Region,Background / Unspecified,,,,,,,877.1461181640625,2.2782503692681644,SLD12870,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5156764705882353,0.0776970521433387,0.3995,0.6377,17,0.2382,12.0,0.0,25.2,42.3,16.2,10.5,1.3,6.9
41061,0,0,8.778304,76.920161,Western Ghats Region,Background / Unspecified,,,,,,,95.64201354980467,16.193053543132415,SLD13404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8251705882352942,0.0566739552694388,0.6893,0.931,17,0.2417,8.0,0.0,28.4,34.2,23.1,21.0,1.15,5.3
35390,0,0,9.496599,76.856428,Western Ghats Region,Background / Unspecified,,,,,,,60.59843444824219,5.3384709802681165,SLD08160,0.2925316393375397,0.0097510546445846,0.2925316393375397,0.0534087258830453,0.0,0.0,0.2925316393375397,0.0,0.0,0.2925316393375397,0.8043375,0.076183881716104,0.5406,0.8771,16,0.3365,8.0,0.0,24.3,38.0,26.3,24.6,1.16,5.3
39611,0,0,16.614284,73.424411,Western Ghats Region,Background / Unspecified,,,,,,,86.9852066040039,2.048335789187622,SLD12062,0.6377302631735795,0.0212576754391193,0.0761677846312522,0.0271938157715405,0.070749171078205,0.1768729276955125,0.6377302631735795,0.0353745855391025,0.0353745855391025,0.0761677846312522,0.3756875,0.1085072770217125,0.2796,0.6671,16,0.3875,10.0,0.0,18.7,37.5,25.5,14.8,1.4,6.2
40481,0,0,11.673621,76.052608,Western Ghats Region,Background / Unspecified,,,,,,,763.5000610351562,11.253805257531791,SLD12863,1.890864544548094,0.0630288181516031,0.2796229720115661,0.1009179396766535,0.0999701768159865,0.0999701768159865,1.890864544548094,0.0199940353631973,0.0199940353631973,0.2796229720115661,0.76975625,0.0498121801537201,0.7135,0.9098,16,0.1963,8.0,0.0,25.0,43.8,19.1,19.2,1.18,5.4
3353,1,1,11.363889,76.722222,Tamil Nadu,Nilgiri,Coonoor,Soil,Slide,,,,1935.5157470703125,10.876934498892217,SLD03336,30.34165033325553,1.011388344441851,17.65021514892578,3.2083986182798085,2.857273638248444,3.5385064743459225,30.34165033325553,1.1254082918167114,1.1254082918167114,17.65021514892578,0.6941894736842106,0.0512211750346458,0.6083,0.7536,19,0.1453000000000001,14.0,0.0,23.7,36.5,25.8,33.8,1.1,5.8
3828,1,1,11.599166,76.084166,Kerala,Wayanad,Vythiri,Debris,Slide,,,Kalpetta ESI,747.6481323242188,12.450821202303771,SLD03810,3.3993125185370445,0.1133104172845681,1.7451298236846924,0.323645413485273,0.05255751311779,0.05255751311779,3.3993125185370445,0.010511502623558,0.010511502623558,1.7451298236846924,0.7004875,0.0821869241424693,0.4783,0.8231,16,0.3448,8.0,0.0,26.9,42.3,18.4,20.3,1.2,5.5
1149,1,1,9.986956,76.908022,Kerala,Idukki,Idukki,Debris,Flow,,,Thattekanni VII,228.33349609375,18.105052118596607,SLD01146,14.828733496367931,0.4942911165455977,5.151464462280273,1.2701639246015464,0.2508099004626269,0.2508099004626269,14.828733496367931,0.0501619800925254,0.0501619800925254,5.151464462280273,0.8187823529411764,0.0330357426754363,0.7579,0.8833,17,0.1253999999999999,2.0,0.0,26.0,34.1,26.6,28.0,1.09,5.2
