ID,Land_Cover_Type,Land_Cover_QC
SLD00227,8.0,0.0
SLD00228,2.0,0.0
SLD00229,8.0,0.0
SLD00230,2.0,0.0
SLD00231,8.0,0.0
SLD00232,2.0,0.0
SLD00233,2.0,0.0
SLD00234,8.0,0.0
SLD00235,2.0,0.0
SLD00236,12.0,0.0
SLD00237,2.0,0.0
SLD00238,8.0,0.0
SLD00239,2.0,0.0
SLD00240,8.0,0.0
SLD00241,8.0,0.0
SLD00242,8.0,0.0
SLD00243,2.0,0.0
SLD00244,2.0,0.0
SLD00245,2.0,0.0
SLD00246,2.0,0.0
SLD00247,2.0,0.0
SLD00248,2.0,0.0
SLD00249,8.0,0.0
SLD00250,8.0,0.0
SLD00251,2.0,0.0
SLD00252,2.0,0.0
SLD00253,8.0,0.0
SLD00254,8.0,0.0
SLD00255,8.0,0.0
SLD00256,8.0,0.0
SLD00257,2.0,0.0
SLD00258,8.0,0.0
SLD00259,2.0,0.0
SLD00260,8.0,0.0
SLD00261,8.0,0.0
SLD00262,2.0,0.0
SLD00263,9.0,0.0
SLD00264,9.0,0.0
SLD00265,2.0,0.0
SLD00266,8.0,0.0
SLD00267,8.0,0.0
SLD00268,8.0,0.0
SLD00269,8.0,0.0
SLD00270,8.0,0.0
SLD00271,8.0,0.0
SLD00272,8.0,0.0
SLD00273,8.0,0.0
SLD00274,8.0,0.0
SLD00275,2.0,0.0
SLD00276,8.0,0.0
SLD00277,8.0,0.0
SLD00278,8.0,0.0
SLD00279,2.0,0.0
SLD00280,8.0,0.0
SLD00281,8.0,0.0
SLD00282,8.0,0.0
SLD00283,8.0,0.0
SLD00284,8.0,0.0
SLD00285,8.0,0.0
SLD00286,8.0,0.0
SLD00287,8.0,0.0
SLD00288,8.0,0.0
SLD00289,8.0,0.0
SLD00290,8.0,0.0
SLD00291,8.0,0.0
SLD00292,8.0,0.0
SLD00293,8.0,0.0
SLD00294,8.0,0.0
SLD00295,8.0,0.0
SLD00296,8.0,0.0
SLD00297,8.0,0.0
SLD00298,8.0,0.0
SLD00299,8.0,0.0
SLD00300,8.0,0.0
SLD00301,8.0,0.0
SLD00302,2.0,0.0
SLD00303,8.0,0.0
SLD00304,8.0,0.0
SLD00305,8.0,0.0
SLD00306,8.0,0.0
SLD00307,8.0,0.0
SLD00308,8.0,0.0
SLD00309,8.0,0.0
SLD00310,8.0,0.0
SLD00311,8.0,0.0
SLD00312,2.0,0.0
SLD00313,8.0,0.0
SLD00314,8.0,0.0
SLD00315,2.0,0.0
SLD00316,2.0,0.0
SLD00317,8.0,0.0
SLD00318,8.0,0.0
SLD00319,8.0,0.0
SLD00320,2.0,0.0
SLD00321,8.0,0.0
SLD00322,2.0,0.0
SLD00323,8.0,0.0
SLD00324,8.0,0.0
SLD00325,8.0,0.0
SLD00326,8.0,0.0
SLD00327,8.0,0.0
SLD00328,2.0,0.0
SLD00329,8.0,0.0
SLD00330,8.0,0.0
SLD00331,8.0,0.0
SLD00332,8.0,0.0
SLD00333,8.0,0.0
SLD00334,2.0,0.0
SLD00335,8.0,0.0
SLD00336,8.0,0.0
SLD00337,8.0,0.0
SLD00338,2.0,0.0
SLD00339,8.0,0.0
SLD00340,8.0,0.0
SLD00341,2.0,0.0
SLD00342,8.0,0.0
SLD00343,8.0,0.0
SLD00344,8.0,0.0
SLD00345,8.0,0.0
SLD00346,8.0,0.0
SLD00347,8.0,0.0
SLD00348,8.0,0.0
SLD00349,8.0,0.0
SLD00350,8.0,0.0
SLD00351,8.0,0.0
SLD00352,8.0,0.0
SLD00353,2.0,0.0
SLD00354,2.0,0.0
SLD00355,2.0,0.0
SLD00356,2.0,0.0
SLD00357,2.0,0.0
SLD00358,2.0,0.0
SLD00359,2.0,0.0
SLD00360,2.0,0.0
SLD00361,8.0,0.0
SLD00362,8.0,0.0
SLD00363,8.0,0.0
SLD00364,2.0,0.0
SLD00365,8.0,0.0
SLD00366,8.0,0.0
SLD00367,9.0,0.0
SLD00368,8.0,0.0
SLD00369,8.0,0.0
SLD00370,8.0,0.0
SLD00371,8.0,0.0
SLD00372,8.0,0.0
SLD00373,8.0,0.0
SLD00374,8.0,0.0
SLD00375,8.0,0.0
SLD00376,8.0,0.0
SLD00377,8.0,0.0
SLD00378,8.0,0.0
SLD00379,2.0,0.0
SLD00380,2.0,0.0
SLD00381,8.0,0.0
SLD00382,2.0,0.0
SLD00383,8.0,0.0
SLD00384,2.0,0.0
SLD00385,2.0,0.0
SLD00386,8.0,0.0
SLD00387,8.0,0.0
SLD00388,8.0,0.0
SLD00389,8.0,0.0
SLD00390,8.0,0.0
SLD00391,8.0,0.0
SLD00392,8.0,0.0
SLD00393,8.0,0.0
SLD00394,2.0,0.0
SLD00395,2.0,0.0
SLD00396,8.0,0.0
SLD00397,8.0,0.0
SLD00398,2.0,0.0
SLD00399,2.0,0.0
SLD00400,8.0,0.0
SLD00401,8.0,0.0
SLD00402,8.0,0.0
SLD00403,8.0,0.0
SLD00404,8.0,0.0
SLD00405,8.0,0.0
SLD00406,8.0,0.0
SLD00407,8.0,0.0
SLD00408,8.0,0.0
SLD00409,2.0,0.0
SLD00410,8.0,0.0
SLD00411,8.0,0.0
SLD00412,8.0,0.0
SLD00413,8.0,0.0
SLD00414,8.0,0.0
SLD00415,8.0,0.0
SLD00416,8.0,0.0
SLD00417,8.0,0.0
SLD00418,8.0,0.0
