ID,NDVI_mean,NDVI_std,NDVI_min,NDVI_max,NDVI_valid_observations,NDVI_range,Land_Cover_Type,Land_Cover_QC
SLD10111,0.6412368421052632,0.0710133259053562,0.5301,0.8007,19,0.2705999999999999,12.0,0.0
SLD10112,0.6018470588235294,0.1223482995266334,0.4453,0.8161,17,0.3708000000000001,9.0,0.0
SLD10113,0.79731875,0.0399957534204153,0.7414,0.8675,16,0.1261000000000001,2.0,0.0
SLD10114,0.6899411764705882,0.0643721412843274,0.5843,0.7978,17,0.2134999999999999,14.0,0.0
SLD10115,0.6900117647058823,0.0378327550271081,0.6355,0.7559,17,0.1204,14.0,0.0
SLD10116,0.82391875,0.0410516295860063,0.7512,0.8838,16,0.1326,8.0,0.0
SLD10117,0.09166875,0.1617364882300836,-0.1181,0.4508,16,0.5689,17.0,2.0
SLD10118,0.69365,0.0694533704485726,0.5272,0.8044,16,0.2772,9.0,0.0
SLD10119,0.8151833333333333,0.0387691731647554,0.7331,0.863,12,0.1299,2.0,0.0
SLD10120,0.7558777777777778,0.1399637917696428,0.2478,0.8715,18,0.6237,2.0,0.0
SLD10121,0.7175066666666666,0.1135642138469098,0.4742,0.8459,15,0.3717,5.0,0.0
SLD10122,0.4816523809523809,0.0878368352062369,0.3383,0.6916,21,0.3533,12.0,0.0
SLD10123,0.6988277777777778,0.1144165239277632,0.4615,0.8343,18,0.3728,4.0,0.0
SLD10124,0.808135294117647,0.0519075372799614,0.7197,0.8934,17,0.1736999999999999,2.0,0.0
SLD10125,0.71692,0.1028077415095075,0.4559,0.8584,15,0.4025,8.0,0.0
SLD10126,0.75735625,0.0583636869837173,0.6308,0.8389,16,0.2080999999999999,5.0,0.0
SLD10127,0.53509375,0.1120997559839747,0.3363,0.7168,16,0.3805,12.0,0.0
SLD10128,0.7979571428571429,0.0781477467984223,0.5901,0.8737,14,0.2836000000000001,8.0,0.0
SLD10129,0.6321294117647058,0.1029345348067515,0.4945,0.8037,17,0.3092,9.0,0.0
SLD10130,0.8132785714285714,0.037064500506579,0.7348,0.862,14,0.1271999999999999,2.0,0.0
SLD10131,0.6973294117647059,0.0623316509157454,0.5912,0.7993,17,0.2081,9.0,0.0
SLD10132,0.6141882352941177,0.0453805558906143,0.5348,0.6998,17,0.1649999999999999,14.0,0.0
SLD10133,0.8840153846153846,0.0168657861835653,0.8642,0.9213,13,0.0571,2.0,0.0
SLD10134,0.642275,0.1021623707634077,0.4431,0.808,16,0.3649,12.0,0.0
SLD10135,0.6322058823529412,0.0658842210869589,0.529,0.7877,17,0.2586999999999999,14.0,0.0
SLD10136,0.5132136363636364,0.0847247605088975,0.4056,0.7667,22,0.3611,12.0,0.0
SLD10137,0.735864705882353,0.0712094791897159,0.6382,0.8618,17,0.2236,8.0,0.0
SLD10138,0.8481266666666667,0.0233923817472596,0.7957,0.8841,15,0.0884,2.0,0.0
SLD10139,0.6195625,0.1141490071500113,0.3962,0.7644,16,0.3681999999999999,11.0,2.0
