S.No,Latitude,Longitude,Soil_clay_0_5cm,Soil_sand_0_5cm,Soil_silt_0_5cm,Soil_soc_0_5cm,Soil_bdod_0_5cm,Soil_phh2o_0_5cm
89,9.2339,76.933897,25.6,29.8,24.2,32.8,1.08,5.1
90,9.260186,76.962403,32.7,30.7,22.2,31.8,1.14,5.2
91,9.268942,76.968072,33.0,31.2,20.5,31.1,1.12,5.2
92,9.269308,76.96805,34.1,30.9,21.0,32.5,1.11,5.1
93,9.272417,76.969258,27.4,33.8,22.7,32.0,1.07,5.1
94,9.298778,76.801817,23.6,38.6,27.7,25.0,1.1,5.2
95,9.30035,76.997306,21.6,37.1,23.1,31.8,1.12,5.2
96,9.301225,76.985617,27.2,35.8,23.5,33.1,1.1,5.1
97,9.301731,76.980503,27.3,35.0,23.9,33.1,1.12,5.1
98,9.302208,76.979242,27.3,35.0,23.9,33.1,1.12,5.1
99,9.302861,76.977833,26.0,33.2,25.4,32.5,1.12,5.2
100,9.303428,76.990983,27.1,36.9,23.0,31.5,1.1,5.2
101,9.304333,76.990425,27.1,36.9,23.0,31.5,1.1,5.2
102,9.304603,76.988392,27.0,36.2,23.5,32.6,1.11,5.1
103,9.305169,76.987244,26.6,36.9,23.0,32.0,1.11,5.2
104,9.309878,76.961369,25.5,33.5,24.9,31.3,1.14,5.3
105,9.31,77.1,26.0,34.1,23.0,33.4,1.09,5.2
106,9.310506,76.996892,24.8,37.1,22.8,31.9,1.12,5.1
107,9.310961,76.979619,29.2,36.3,22.2,30.1,1.13,5.2
108,9.313472,76.990539,29.1,36.4,21.9,31.3,1.11,5.1
109,9.313819,76.956094,26.4,33.9,23.9,29.2,1.15,5.2
110,9.31495,76.986872,23.2,38.5,25.2,28.0,1.12,5.1
111,9.31625,76.949881,26.8,34.5,24.1,29.8,1.1,5.3
112,9.316964,76.743289,26.8,37.8,25.7,26.2,1.12,5.1
113,9.319214,76.952022,29.4,33.1,22.9,31.8,1.1,5.1
114,9.32,77.1,28.6,35.6,22.8,39.0,1.06,5.1
115,9.32,77.1,28.6,35.6,22.8,39.0,1.06,5.1
116,9.3212,77.003772,25.1,36.4,24.5,31.6,1.12,5.2
117,9.321517,76.961139,26.8,34.0,23.4,31.0,1.12,5.2
118,9.324292,76.878439,25.0,36.1,23.9,25.5,1.15,5.2
119,9.324669,76.874817,22.3,35.8,26.1,26.1,1.18,5.2
120,9.326661,76.986664,25.8,35.3,21.4,32.5,1.14,5.2
121,9.327389,76.958711,25.5,35.2,21.3,30.0,1.1,5.1
122,9.328972,76.954578,26.8,34.9,20.8,31.0,1.11,5.1
123,9.332481,76.920175,28.7,32.6,25.1,27.0,1.16,5.3
124,9.332681,76.919267,27.8,33.0,25.8,26.1,1.16,5.3
125,9.335494,76.995597,27.4,36.1,21.9,32.0,1.12,5.2
126,9.340931,76.850644,23.2,34.9,29.7,26.5,1.15,5.1
127,9.343592,76.933786,27.3,32.7,26.7,31.0,1.12,5.1
128,9.343594,76.935444,27.3,32.7,26.7,31.0,1.12,5.1
129,9.34365,76.940406,28.7,32.6,26.6,31.0,1.12,5.1
130,9.347475,76.918508,26.1,32.4,25.1,27.6,1.13,5.1
131,9.411836,76.973325,28.9,30.6,23.7,28.8,1.12,5.2
132,9.418431,76.965742,30.8,29.5,23.9,30.1,1.11,5.2
133,9.437264,76.868906,22.8,32.0,30.7,29.2,1.1,5.2
134,9.45,77.37,31.4,32.3,25.3,42.0,1.09,5.4
135,9.50805,76.981387,22.9,36.6,29.7,32.0,1.14,5.1
136,9.516939,76.982494,22.6,33.4,28.6,36.1,1.07,5.1
137,9.517495,76.983326,22.6,33.4,28.6,36.1,1.07,5.1
138,9.51972,76.983047,23.6,32.5,29.2,39.0,1.06,5.0
139,9.526361,76.980418,21.5,30.7,30.6,39.0,1.04,5.1
