S.No,Latitude,Longitude,Soil_clay_0_5cm,Soil_sand_0_5cm,Soil_silt_0_5cm,Soil_soc_0_5cm,Soil_bdod_0_5cm,Soil_phh2o_0_5cm
1932,10.15,77.05,25.2,29.6,30.8,46.1,1.06,5.4
1933,10.15,77.11,28.1,28.7,29.7,42.4,0.97,5.1
1934,10.150059,77.073107,32.0,30.1,29.3,41.3,0.97,5.2
1935,10.150059,77.073107,32.0,30.1,29.3,41.3,0.97,5.2
1936,10.15021,77.082094,28.7,26.2,32.5,49.6,0.96,5.1
1937,10.15021,77.082094,28.7,26.2,32.5,49.6,0.96,5.1
1938,10.152672,77.112599,24.9,29.9,31.6,40.7,0.96,5.1
1939,10.152672,77.112599,24.9,29.9,31.6,40.7,0.96,5.1
1940,10.16,76.91,25.7,42.0,19.1,26.8,1.1,5.3
1941,10.16,77.08,30.7,29.3,27.3,50.7,0.92,5.1
1942,10.16,77.08,30.7,29.3,27.3,50.7,0.92,5.1
1943,10.16,77.18,24.8,30.8,30.4,46.2,1.0,5.4
1944,10.16,77.11,28.9,29.5,31.1,35.5,1.01,5.1
1945,10.16,77.11,28.9,29.5,31.1,35.5,1.01,5.1
1946,10.16,77.1,28.3,31.4,27.3,41.5,0.98,5.2
1947,10.16,77.1,28.3,31.4,27.3,41.5,0.98,5.2
1948,10.165603,76.75545,26.0,33.7,21.5,24.0,1.12,5.4
1949,10.166275,77.363056,28.7,29.2,24.8,52.7,1.04,5.1
1950,10.17,76.92,28.2,42.0,16.5,30.9,1.1,5.2
1951,10.17,76.75,25.1,35.5,23.8,25.7,1.08,5.3
1952,10.17,77.1,27.6,30.7,33.6,44.0,0.93,5.2
1953,10.17,77.25,27.7,30.2,25.9,53.0,0.93,5.2
1954,10.17,77.25,27.7,30.2,25.9,53.0,0.93,5.2
1955,10.17,77.25,27.7,30.2,25.9,53.0,0.93,5.2
1956,10.17,77.0,27.6,27.2,30.9,56.5,0.98,5.2
1957,10.17,77.02,29.7,28.9,29.7,64.0,0.92,5.0
1958,10.17,77.1,27.6,30.7,33.6,44.0,0.93,5.2
1959,10.173418,77.128062,27.0,27.5,31.3,57.9,0.92,5.0
1960,10.173418,77.128062,27.0,27.5,31.3,57.9,0.92,5.0
1961,10.177358,77.387694,25.1,30.0,28.2,48.5,1.04,5.4
1962,10.178886,77.258451,27.2,35.0,28.1,33.1,0.98,5.3
1963,10.178886,77.258451,27.2,35.0,28.1,33.1,0.98,5.3
1964,10.18,77.11,29.5,30.2,29.9,37.9,0.96,5.2
1965,10.18,77.24,30.2,27.5,27.4,45.6,1.04,5.2
1966,10.18,77.25,27.2,34.4,30.1,30.4,1.04,5.4
1967,10.18,76.99,33.8,28.0,27.4,43.2,0.96,5.1
1968,10.18,77.19,31.4,31.2,22.9,64.0,0.9,5.0
1969,10.18,77.11,29.5,30.2,29.9,37.9,0.96,5.2
1970,10.18,77.12,27.8,32.5,29.5,35.3,1.0,5.3
1971,10.182786,77.108874,28.7,30.3,29.9,37.5,0.96,5.2
1972,10.182786,77.108874,28.7,30.3,29.9,37.5,0.96,5.2
1973,10.182917,77.109595,28.7,30.3,29.9,37.5,0.96,5.2
1974,10.182917,77.109595,28.7,30.3,29.9,37.5,0.96,5.2
1975,10.19,77.11,27.9,32.2,30.5,32.0,1.05,5.4
1976,10.19,77.27,31.2,28.9,25.1,69.0,0.92,5.1
1977,10.19,77.24,30.5,29.6,24.7,50.2,0.94,5.2
1978,10.19,76.69,24.2,40.1,24.5,27.4,1.11,5.3
1979,10.19,76.97,32.6,27.5,25.8,40.0,1.02,5.2
1980,10.191944,77.333889,21.8,33.8,31.6,32.9,1.11,5.4
1981,10.19375,77.320056,26.0,33.0,28.0,52.1,1.02,5.2
1982,10.197261,77.660056,23.5,40.5,22.6,23.0,1.34,6.1
1983,10.199722,77.314528,23.2,33.2,28.9,32.8,1.08,5.4
1984,10.2,77.12,28.3,34.5,28.3,34.3,1.04,5.4
1985,10.2,77.13,27.0,33.6,26.7,32.0,1.04,5.3
1986,10.2,77.12,28.3,34.5,28.3,34.3,1.04,5.4
1987,10.2,77.25,26.1,35.3,26.7,50.5,0.96,5.4
1988,10.2,77.24,24.8,33.8,28.5,53.6,0.96,5.2
1989,10.2,77.26,24.5,35.8,29.5,35.0,1.0,5.4
1990,10.2,76.71,26.6,38.0,20.4,23.4,1.11,5.2
1991,10.2,76.71,26.6,38.0,20.4,23.4,1.11,5.2
1992,10.200222,77.31475,23.2,33.2,28.9,32.8,1.08,5.4
1993,10.20375,77.650556,26.3,38.7,19.5,29.5,1.26,6.0
1994,10.205333,77.347556,21.9,33.2,31.5,33.1,1.12,5.4
1995,10.20825,77.645306,22.2,37.3,23.0,27.4,1.26,6.0
1996,10.21,77.19,28.3,33.2,27.7,42.0,1.0,5.3
1997,10.21,77.25,25.6,36.4,27.8,44.1,1.0,5.4
1998,10.21,77.24,27.2,33.7,27.1,46.5,0.93,5.3
1999,10.210583,77.638222,23.5,40.7,21.0,27.8,1.26,6.4
2000,10.21225,77.372311,23.4,34.6,29.3,49.6,1.0,5.3
2001,10.212639,77.634417,24.4,40.9,20.1,30.3,1.25,5.9
2002,10.213778,77.631111,27.5,42.6,17.8,27.1,1.26,5.9
2003,10.216639,77.356167,21.6,36.9,30.2,34.3,1.1,5.4
2004,10.218472,77.631167,27.2,41.2,19.0,27.8,1.2,5.7
2005,10.219,77.483833,24.9,31.2,29.0,49.8,1.02,5.2
2006,10.219111,77.355722,24.5,35.1,28.6,34.4,1.1,5.4
2007,10.219444,77.348889,19.6,34.1,33.2,39.1,1.04,5.4
2008,10.22,77.24,29.8,35.0,26.6,44.7,0.94,5.3
2009,10.220333,77.3565,22.4,34.8,30.2,30.1,1.11,5.4
2010,10.220444,77.357806,22.4,34.8,30.2,30.1,1.11,5.4
2011,10.220556,77.349722,20.3,33.6,33.3,36.0,1.06,5.4
2012,10.220836,77.483703,24.9,31.0,29.2,52.4,1.02,5.2
2013,10.22095,77.48355,24.9,31.0,29.2,52.4,1.02,5.2
2014,10.221917,77.482989,24.9,31.0,29.2,52.4,1.02,5.2
2015,10.223278,77.632722,26.6,38.1,22.0,26.2,1.19,5.7
2016,10.226694,77.561167,23.3,38.7,23.7,38.8,1.1,5.8
2017,10.228528,77.636694,24.5,37.8,23.5,27.8,1.16,5.7
2018,10.23,77.2,27.9,35.2,25.6,39.0,1.0,5.3
2019,10.23,77.2,27.9,35.2,25.6,39.0,1.0,5.3
2020,10.23,76.94,33.1,35.6,18.5,31.3,1.1,5.2
2021,10.23,76.94,33.1,35.6,18.5,31.3,1.1,5.2
2022,10.230444,77.640361,25.1,37.8,23.8,27.2,1.17,5.7
2023,10.231833,77.642778,23.6,37.2,24.6,27.8,1.19,5.7
2024,10.231861,77.350194,23.5,35.0,30.9,41.9,1.0,5.3
2025,10.231972,77.644389,23.2,36.7,23.2,29.9,1.17,5.8
2026,10.233333,77.640444,24.0,37.1,22.2,29.8,1.19,5.8
2027,10.233778,77.565056,25.8,35.4,24.8,41.3,1.06,5.8
2028,10.235917,77.509972,22.3,37.4,24.9,34.0,1.08,5.4
2029,10.236556,77.512194,20.9,33.5,28.4,34.0,1.1,5.3
2030,10.236778,77.640111,23.1,38.4,21.7,30.9,1.18,5.7
2031,10.237,77.554806,20.5,36.1,26.5,34.0,1.08,5.8
2032,10.238875,77.523114,21.5,33.8,28.1,46.5,1.12,5.5
2033,10.2389,77.4958,0.0,0.0,0.0,0.0,0.0,0.0
2034,10.239389,77.350889,24.0,32.8,31.6,46.1,1.05,5.4
2035,10.239417,77.519611,21.1,33.9,27.8,37.6,1.05,5.3
2036,10.239444,77.519972,21.1,33.9,27.8,37.6,1.05,5.3
2037,10.240167,77.37825,25.8,32.2,28.2,58.5,1.0,5.2
2038,10.240769,77.5049,0.0,0.0,0.0,0.0,0.0,0.0
2039,10.240806,77.366222,24.2,33.6,31.5,41.9,1.0,5.4
2040,10.241139,77.528889,21.6,35.1,26.8,42.2,1.09,5.4
2041,10.241372,77.504561,0.0,0.0,0.0,0.0,0.0,0.0
2042,10.241861,77.527833,21.1,33.0,28.1,34.3,1.12,5.5
2043,10.242028,77.527361,21.1,33.0,28.1,34.3,1.12,5.5
2044,10.2422,77.5237,19.2,33.0,30.9,34.0,1.12,5.4
2045,10.243444,77.33425,21.9,36.7,28.8,55.8,1.02,5.3
2046,10.245033,77.643522,23.0,38.1,21.4,32.0,1.17,5.7
2047,10.246278,77.557194,24.0,33.4,27.1,39.4,1.06,5.8
2048,10.246556,77.556861,23.0,33.0,29.0,34.8,1.06,5.6
2049,10.246922,76.477153,25.7,42.3,16.3,22.4,1.1,5.4
2050,10.248917,77.52025,20.4,35.2,30.3,32.0,1.05,5.5
2051,10.249,77.49075,29.2,32.8,26.2,38.9,1.14,5.5
2052,10.249417,77.490833,29.2,32.8,26.2,38.9,1.14,5.5
2053,10.249722,77.333611,23.8,35.9,28.6,52.7,1.0,5.3
2054,10.249944,77.491806,29.2,32.8,26.2,38.9,1.14,5.5
2055,10.25,77.21,25.0,37.3,25.3,38.9,1.06,5.6
2056,10.250417,77.188778,30.3,32.4,22.5,26.9,1.18,5.7
2057,10.250556,77.412556,22.1,32.4,32.7,54.5,1.02,5.4
2058,10.251528,77.187472,30.0,32.7,21.8,27.0,1.19,5.7
2059,10.251778,77.32975,22.4,37.4,28.2,38.3,1.0,5.4
2060,10.252194,77.187583,30.0,32.7,21.8,27.0,1.19,5.7
2061,10.252222,77.333056,22.4,37.4,28.2,38.3,1.0,5.4
2062,10.252306,77.522833,21.6,36.7,31.0,37.0,1.02,5.3
2063,10.253,77.194667,27.9,34.1,24.7,29.6,1.16,5.7
2064,10.253194,77.187083,30.0,32.7,21.8,27.0,1.19,5.7
2065,10.253611,77.524139,21.0,37.3,28.9,39.9,1.02,5.3
2066,10.253694,77.175222,28.8,36.3,22.4,27.1,1.3,5.8
2067,10.254028,77.5245,22.5,37.0,29.4,33.0,1.02,5.3
2068,10.254944,77.186528,27.2,33.8,24.3,27.6,1.18,5.7
2069,10.255056,77.528611,22.3,36.8,29.7,34.4,1.02,5.3
2070,10.255194,77.483361,28.4,32.0,29.6,41.4,1.11,5.4
2071,10.255556,77.177972,28.1,36.8,22.5,27.1,1.15,5.8
2072,10.256417,77.332389,23.1,38.3,27.1,44.0,1.02,5.4
2073,10.256639,77.531139,21.3,39.5,31.4,33.4,1.01,5.3
2074,10.257167,77.185639,27.5,33.3,22.0,26.1,1.15,5.7
2075,10.257556,77.531556,21.3,39.5,31.4,33.4,1.01,5.3
2076,10.257667,77.491278,27.0,31.1,28.0,44.8,1.08,5.5
2077,10.257889,77.373028,20.0,33.6,31.3,60.0,1.0,5.3
2078,10.257944,77.492139,27.0,31.1,28.0,44.8,1.08,5.5
2079,10.258028,77.491778,27.0,31.1,28.0,44.8,1.08,5.5
2080,10.258056,77.3315,25.0,38.1,26.2,31.9,1.06,5.4
2081,10.258571,77.4924049,23.0,33.6,28.4,45.9,1.09,5.3
2082,10.258611,77.4875277,22.1,33.1,29.1,43.6,1.11,5.3
2083,10.25925,77.492361,23.0,33.6,28.4,45.9,1.09,5.3
2084,10.259694,77.492667,23.0,33.6,28.4,45.9,1.09,5.3
2085,10.260194,77.405333,19.6,33.0,34.5,32.5,1.1,5.6
2086,10.260222,77.535278,26.3,33.5,26.2,37.6,1.06,5.3
2087,10.260444,77.554889,25.3,36.6,25.2,39.0,1.0,5.4
2088,10.2612,76.9346,31.6,34.7,23.9,27.0,1.1,5.4
2089,10.261444,77.552639,28.3,37.6,24.2,37.5,1.0,5.4
2090,10.261444,77.493444,22.8,33.6,28.4,46.8,1.1,5.3
2091,10.261667,77.554083,24.5,37.1,25.2,38.9,1.03,5.4
2092,10.262289,77.4889793,22.3,32.4,28.2,60.0,1.02,5.4
2093,10.262583,77.537194,25.8,34.3,27.6,38.8,1.07,5.3
2094,10.262667,77.547083,27.6,33.8,26.4,37.6,1.04,5.4
2095,10.263667,77.404222,20.6,36.0,32.0,30.7,1.1,5.6
2096,10.263833,77.494028,22.7,32.9,28.0,45.6,1.11,5.5
2097,10.264333,77.535667,25.6,34.7,27.6,33.6,1.06,5.3
2098,10.264361,77.493889,22.7,32.9,28.0,45.6,1.11,5.5
2099,10.264667,77.193472,31.3,34.5,22.4,24.9,1.27,5.8
2100,10.265444,77.493889,22.7,32.9,28.0,45.6,1.11,5.5
2101,10.265639,77.494028,22.4,32.6,29.1,44.9,1.13,5.5
2102,10.265722,77.194417,30.3,34.7,20.8,25.5,1.19,5.9
2103,10.26608,77.49361,22.4,32.6,29.1,44.9,1.13,5.5
2104,10.26625,77.152028,32.0,29.8,24.6,29.4,1.11,5.4
2105,10.266472,77.534917,25.8,36.1,28.2,32.8,1.04,5.3
2106,10.266572,77.535944,26.1,35.6,29.0,34.6,1.06,5.3
2107,10.266861,77.126333,27.8,34.8,26.7,34.3,1.05,5.5
2108,10.267333,77.280389,20.6,43.0,21.2,25.1,1.14,5.8
2109,10.26815,77.4944,24.7,35.5,26.9,36.5,1.13,5.7
2110,10.268417,77.558611,26.0,37.4,24.5,32.5,1.04,5.5
2111,10.269194,77.128639,27.6,33.1,27.3,33.0,1.05,5.5
2112,10.269278,77.554333,26.7,37.3,24.9,36.8,1.07,5.4
2113,10.269969,76.967114,29.5,37.2,21.7,28.2,1.08,5.3
2114,10.269972,77.4945,24.7,35.5,26.9,36.5,1.13,5.7
2115,10.2703,77.4503,24.9,38.1,25.7,39.7,1.06,5.4
2116,10.270361,77.135278,28.6,32.2,29.2,31.9,1.05,5.6
2117,10.270417,77.451417,23.9,37.0,24.9,33.8,1.08,5.6
2118,10.270417,77.495639,24.3,35.3,27.0,32.6,1.13,5.7
2119,10.270444,77.396361,20.7,33.1,31.9,45.6,1.08,5.5
2120,10.2718,76.896231,30.9,29.6,25.8,29.1,1.05,5.1
2121,10.271972,77.45325,23.9,37.0,24.9,33.8,1.08,5.6
2122,10.272111,77.396389,20.7,33.1,31.9,45.6,1.08,5.5
2123,10.272192,77.4808806,24.5,33.6,28.9,32.0,1.14,5.8
2124,10.272297,76.9226,33.5,32.5,23.6,24.2,1.1,5.4
2125,10.272486,76.976197,27.7,37.1,22.2,28.9,1.09,5.1
2126,10.2725,77.498194,23.9,35.3,28.6,34.3,1.12,5.7
2127,10.272556,77.560667,25.3,35.7,23.4,32.4,1.06,5.5
2128,10.272675,76.974933,27.7,37.1,22.2,28.9,1.09,5.1
2129,10.27275,77.572278,24.6,38.6,24.8,31.0,1.13,5.8
2130,10.272758,76.980692,28.2,37.9,23.5,32.2,1.04,5.1
2131,10.272861,77.454472,25.9,37.1,24.3,32.9,1.1,5.6
2132,10.273417,77.533861,26.3,35.8,28.4,32.6,1.02,5.4
2133,10.274317,76.974889,27.7,37.5,23.4,27.9,1.08,5.1
2134,10.274667,77.395944,19.9,34.6,32.9,39.6,1.1,5.6
2135,10.274778,77.3935,21.3,35.6,30.8,41.2,1.06,5.3
2136,10.274917,77.567694,25.1,36.6,24.6,31.7,1.06,5.5
2137,10.275,77.56625,25.7,35.7,24.1,31.9,1.06,5.5
2138,10.275083,77.138472,27.9,33.3,29.9,31.4,1.05,5.6
2139,10.275444,77.395889,21.3,36.8,32.1,36.8,1.1,5.6
2140,10.275511,76.924528,34.3,32.9,21.5,23.9,1.12,5.4
2141,10.275833,77.55975,26.0,37.5,24.4,36.5,1.03,5.4
2142,10.275972,77.533528,27.3,36.2,26.2,35.1,1.04,5.4
2143,10.276083,77.150333,32.1,32.8,22.4,31.0,1.06,5.4
2144,10.276111,77.144667,29.1,32.9,28.2,32.3,1.05,5.2
2145,10.277056,77.449389,27.6,35.5,26.9,31.0,1.08,5.6
2146,10.277167,77.471444,26.3,36.7,26.1,32.9,1.1,5.8
2147,10.277639,77.467361,26.2,36.8,25.6,33.5,1.12,5.8
2148,10.277736,76.978353,30.0,34.9,25.3,32.2,1.04,5.2
2149,10.277889,77.155861,31.7,32.3,26.3,32.0,1.05,5.4
2150,10.278056,77.149278,29.9,32.7,28.2,32.8,1.04,5.4
2151,10.278472,77.142111,27.9,34.0,27.1,30.2,1.05,5.6
2152,10.278611,77.565778,28.3,38.9,24.0,32.0,1.04,5.5
2153,10.279656,77.7847,20.5,38.8,22.1,30.1,1.27,6.6
2154,10.280017,76.864919,26.1,34.3,29.7,30.8,1.07,5.2
2155,10.280178,76.977636,30.1,35.2,25.4,34.5,1.01,5.3
2156,10.281278,77.449222,27.3,36.0,24.4,35.8,1.06,5.6
2157,10.281333,77.448889,26.5,34.8,24.8,33.8,1.08,5.5
2158,10.281583,77.533722,27.7,36.5,25.2,32.7,1.04,5.5
2159,10.281583,77.449,26.5,34.8,24.8,33.8,1.08,5.5
2160,10.282194,77.45125,27.3,36.0,24.4,35.8,1.06,5.6
2161,10.282361,77.16725,34.3,30.4,22.1,31.0,1.07,5.4
2162,10.283389,77.165278,33.4,29.7,22.7,27.8,1.07,5.4
2163,10.28375,77.165528,33.4,29.7,22.7,27.8,1.07,5.4
2164,10.283972,77.015556,28.4,27.9,29.8,32.8,1.0,5.2
2165,10.284361,77.456,29.3,37.0,24.5,38.1,1.02,5.4
2166,10.284389,77.166139,33.4,29.7,22.7,27.8,1.07,5.4
2167,10.284806,77.361944,21.2,33.1,29.2,39.7,1.11,5.6
2168,10.285694,77.3765,21.7,36.4,28.7,38.8,1.06,5.2
2169,10.285833,77.376694,21.7,36.4,28.7,38.8,1.06,5.2
2170,10.285889,77.3945,21.0,33.6,31.4,30.9,1.1,5.5
2171,10.286,77.457444,26.3,36.2,24.8,36.5,1.04,5.6
2172,10.286206,76.484781,26.7,42.0,19.4,24.8,1.07,5.3
2173,10.286917,77.396306,19.7,33.8,33.9,30.7,1.1,5.4
2174,10.287006,77.530047,24.4,36.7,24.4,29.7,1.07,5.7
2175,10.287306,77.009028,26.8,28.7,27.0,32.5,1.04,5.1
2176,10.287333,77.007722,27.9,30.3,24.5,32.2,1.07,5.1
2177,10.287556,77.009583,26.8,28.7,27.0,32.5,1.04,5.1
2178,10.287722,77.009139,26.8,28.7,27.0,32.5,1.04,5.1
2179,10.288083,77.398389,22.3,37.4,30.2,25.5,1.12,5.6
2180,10.28825,77.001222,25.6,34.9,22.9,33.5,1.01,5.1
2181,10.288333,77.0,25.6,34.9,22.9,33.5,1.01,5.1
2182,10.288408,76.841694,25.1,35.4,29.5,30.8,1.08,5.1
2183,10.288528,77.00225,26.6,33.1,24.8,33.0,1.01,5.1
2184,10.288611,77.171861,31.7,34.1,21.7,26.7,1.12,5.6
2185,10.288778,77.009417,26.8,28.7,27.0,32.5,1.04,5.1
2186,10.288833,77.005333,27.5,28.7,25.0,32.6,1.0,5.1
2187,10.288889,77.002833,26.6,33.1,24.8,33.0,1.01,5.1
2188,10.289111,77.005889,27.5,28.7,25.0,32.6,1.0,5.1
2189,10.289417,77.173639,31.8,33.2,21.3,27.9,1.16,5.8
2190,10.289806,77.1745,30.3,28.9,24.0,32.0,1.12,5.5
2191,10.290103,76.986164,29.8,35.0,24.2,42.2,0.98,5.2
2192,10.290111,77.175333,30.3,28.9,24.0,32.0,1.12,5.5
2193,10.290353,76.677881,28.8,43.2,17.4,25.1,1.12,5.3
2194,10.290389,76.674694,28.2,42.1,19.6,24.2,1.12,5.2
2195,10.290417,77.008611,27.9,28.7,25.9,32.0,1.01,5.1
2196,10.290756,77.77765,20.8,40.5,23.2,30.0,1.26,6.4
2197,10.290861,77.008639,27.9,28.7,25.9,32.0,1.01,5.1
2198,10.291667,77.012639,27.7,28.6,25.5,32.0,1.0,5.1
2199,10.291833,77.177139,32.6,30.6,19.8,30.6,1.12,5.6
2200,10.293278,77.17825,30.4,31.2,22.4,31.0,1.14,5.7
2201,10.293314,76.876094,26.0,31.4,30.6,30.7,1.08,5.1
2202,10.293461,76.840075,25.7,35.4,27.7,31.6,1.04,5.1
2203,10.293639,77.178417,30.4,31.2,22.4,31.0,1.14,5.7
2204,10.293864,77.776428,21.4,39.7,23.1,29.9,1.21,6.0
2205,10.293944,77.152333,30.2,33.6,26.6,31.5,1.05,5.4
2206,10.294189,77.548397,23.8,37.1,26.6,39.9,1.04,5.3
2207,10.294911,77.774781,24.5,42.2,21.5,27.0,1.25,6.0
2208,10.295222,77.179944,28.7,34.1,24.5,32.4,1.15,5.8
2209,10.295556,77.017306,28.5,28.7,26.8,36.5,1.0,5.2
2210,10.296417,77.017333,28.5,28.7,26.8,36.5,1.0,5.2
2211,10.297194,77.181306,25.5,32.6,26.2,30.9,1.14,5.6
2212,10.297458,76.968019,32.1,35.7,21.3,29.9,1.06,5.4
2213,10.297958,76.826036,26.9,35.9,25.6,31.9,1.1,5.1
2214,10.298056,77.019083,28.5,29.7,26.7,32.9,1.01,5.1
2215,10.298472,76.458306,27.6,41.3,18.0,24.4,1.12,5.2
2216,10.298947,76.832175,26.0,38.5,27.2,32.0,1.06,5.1
2217,10.299047,77.55115,25.9,37.0,25.7,38.0,1.06,5.4
2218,10.299242,76.831867,0.0,0.0,0.0,0.0,0.0,0.0
2219,10.299583,77.197306,27.6,34.5,21.4,27.3,1.22,5.7
2220,10.29965,77.551875,25.9,37.0,25.7,38.0,1.06,5.4
2221,10.299944,77.182667,23.9,34.1,23.5,33.0,1.16,5.5
2222,10.300208,76.944544,31.1,34.6,24.8,24.2,1.08,5.3
2223,10.300283,76.946444,30.4,35.0,24.5,23.9,1.09,5.3
2224,10.300331,77.768722,21.9,38.5,23.4,30.9,1.14,5.8
2225,10.300531,76.829131,26.3,36.1,25.8,29.9,1.11,5.1
2226,10.300608,77.769753,21.9,38.5,23.4,30.9,1.14,5.8
2227,10.301,77.020722,28.6,30.2,26.7,32.9,1.01,5.1
2228,10.301111,77.020861,28.6,30.2,26.7,32.9,1.01,5.1
2229,10.301278,76.949597,29.4,34.3,25.3,29.4,1.12,5.4
2230,10.301333,76.419556,26.5,41.6,19.6,24.4,1.13,5.2
2231,10.301378,76.443125,24.9,40.5,20.7,26.7,1.09,5.2
2232,10.301383,76.783394,30.2,34.4,22.0,33.1,1.1,5.2
2233,10.301614,76.783903,29.5,34.2,20.6,44.6,1.08,5.3
2234,10.301622,76.493058,27.3,40.1,20.0,25.9,1.12,5.3
2235,10.301875,76.751358,27.3,38.2,24.2,31.6,1.03,5.2
2236,10.302417,77.181889,25.8,35.2,23.2,30.9,1.16,5.5
2237,10.302667,77.712683,22.1,39.1,22.4,30.9,1.1,5.8
2238,10.302903,76.757969,28.1,36.6,23.6,29.8,1.06,5.2
2239,10.302983,77.757842,26.3,39.1,21.3,27.8,1.14,5.7
2240,10.303325,76.579431,28.1,39.0,16.8,23.0,1.12,5.3
2241,10.30335,77.763042,21.6,38.5,23.4,27.2,1.15,5.7
2242,10.303481,76.705925,25.7,42.3,22.6,30.9,1.12,5.2
2243,10.30375,76.433897,25.9,41.2,18.7,22.0,1.12,5.4
2244,10.304078,76.867225,33.1,32.6,21.7,27.4,1.15,5.4
2245,10.304292,76.86725,33.1,32.6,21.7,27.4,1.15,5.4
2246,10.3056,76.8584,27.6,35.4,27.6,31.6,1.08,5.3
2247,10.305733,76.745436,26.5,39.5,22.3,29.9,1.1,5.2
2248,10.305747,76.943708,32.1,34.8,23.4,26.0,1.1,5.4
2249,10.306119,76.744978,26.5,39.5,22.3,29.9,1.1,5.2
2250,10.306172,77.554861,27.2,37.8,24.1,33.2,1.1,5.4
2251,10.306778,76.744869,27.0,39.5,22.1,39.4,1.1,5.2
2252,10.307453,76.720789,28.1,40.4,21.0,27.8,1.12,5.2
2253,10.307786,76.947572,29.3,32.8,24.5,26.5,1.1,5.3
2254,10.308175,76.625056,23.8,42.0,21.7,23.3,1.1,5.2
2255,10.308794,76.722217,26.6,40.1,21.8,31.0,1.12,5.2
2256,10.309331,76.978678,28.4,35.4,26.0,33.2,1.0,5.3
2257,10.309508,76.910206,30.5,35.2,24.7,27.1,1.1,5.2
2258,10.309697,76.706328,27.7,38.9,21.8,32.0,1.12,5.1
2259,10.309886,76.897606,28.3,33.9,26.9,28.1,1.1,5.3
2260,10.310044,77.562853,20.2,39.5,29.4,45.5,1.0,5.4
2261,10.311542,77.566256,19.7,34.8,30.8,39.3,1.04,5.4
2262,10.312428,76.73735,27.9,39.5,21.4,36.4,1.1,5.1
2263,10.312467,76.717233,26.1,39.3,22.0,27.8,1.1,5.2
2264,10.312653,76.982281,28.9,32.3,24.5,32.0,1.0,5.2
2265,10.31375,77.192167,27.6,34.9,19.6,27.1,1.22,5.8
2266,10.313836,76.892428,27.8,34.5,27.0,31.8,1.1,5.2
2267,10.313947,76.892933,27.8,34.5,27.0,31.8,1.1,5.2
2268,10.314283,76.979111,27.7,37.0,25.5,27.9,1.02,5.3
2269,10.314319,76.633278,25.4,46.9,19.2,30.8,1.12,5.3
2270,10.314694,76.893206,0.0,0.0,0.0,0.0,0.0,0.0
2271,10.315097,76.7335,27.1,38.3,22.2,46.3,1.04,5.2
2272,10.315139,77.196389,27.9,36.9,20.0,27.5,1.3,5.9
2273,10.315153,76.893475,0.0,0.0,0.0,0.0,0.0,0.0
2274,10.31525,77.566206,24.6,37.0,28.4,39.0,1.03,5.4
2275,10.315453,77.577625,25.1,34.3,26.5,48.8,1.02,5.4
2276,10.316919,76.897617,0.0,0.0,0.0,0.0,0.0,0.0
2277,10.317633,77.565611,25.2,36.3,24.8,44.2,1.06,5.6
2278,10.318242,77.565142,24.8,37.0,25.4,45.4,1.05,5.6
2279,10.319008,76.981919,28.2,35.0,25.4,27.8,1.0,5.3
2280,10.320264,77.559425,25.1,37.0,28.2,38.6,1.04,5.5
2281,10.320331,76.844325,27.4,32.9,27.8,33.1,1.12,5.4
2282,10.320611,76.466183,26.2,41.4,20.7,25.1,1.1,5.3
2283,10.321139,77.565797,24.9,35.6,27.5,41.3,1.09,5.7
2284,10.322528,77.20825,25.0,38.6,18.3,29.7,1.27,5.9
2285,10.32335,76.9826,27.8,37.5,24.6,31.4,1.08,5.3
2286,10.323417,77.566197,25.0,34.2,26.8,42.4,1.06,5.4
2287,10.325528,77.028722,33.5,26.8,26.4,38.7,1.0,5.4
2288,10.326347,76.984431,28.9,36.9,24.2,31.1,1.08,5.3
2289,10.326444,77.031333,33.1,27.0,26.7,37.0,0.96,5.4
2290,10.326639,77.031889,33.1,27.0,26.7,37.0,0.96,5.4
2291,10.327861,77.052111,30.2,26.4,32.1,35.4,1.05,5.5
2292,10.329167,77.036917,30.2,27.5,29.0,51.5,0.93,5.3
2293,10.329381,76.961111,29.5,35.0,25.5,23.1,1.15,5.4
2294,10.329467,76.935039,27.1,35.6,25.5,24.8,1.15,5.3
2295,10.3295,77.037139,30.2,27.5,29.0,51.5,0.93,5.3
2296,10.329806,77.039278,31.1,27.9,29.0,45.2,0.94,5.2
2297,10.329944,77.021972,31.5,27.2,28.5,40.6,0.96,5.1
2298,10.330167,77.041972,28.8,27.9,31.3,47.3,0.95,5.2
2299,10.330444,77.039556,28.3,27.2,32.5,52.9,0.96,5.2
2300,10.331056,77.020361,29.3,27.4,30.7,44.2,0.96,5.3
2301,10.33165,77.563944,23.9,34.7,24.8,45.3,1.05,5.5
2302,10.331694,77.041444,28.8,27.9,31.3,47.3,0.95,5.2
2303,10.331786,76.958731,29.9,34.9,23.9,23.8,1.13,5.6
2304,10.331972,77.047139,30.9,27.6,29.8,39.1,0.97,5.3
2305,10.332,77.039556,28.3,27.2,32.5,52.9,0.96,5.2
2306,10.33225,77.039278,28.3,27.2,32.5,52.9,0.96,5.2
2307,10.332528,77.03975,28.1,28.7,33.0,43.4,1.06,5.4
2308,10.332778,77.0435,28.1,26.3,33.9,61.5,1.0,5.2
2309,10.332833,77.043917,28.1,26.3,33.9,61.5,1.0,5.2
