ID,Category,Latitude,Longitude
SLD_00147,Landslide,9.565965,76.943333
SLD_00148,Landslide,9.567761,76.950283
SLD_00149,Landslide,9.57,77.4
SLD_00150,Landslide,9.572091,76.998014
SLD_00151,Landslide,9.57226,76.942849
SLD_00152,Landslide,9.5725,77.09172
SLD_00153,Landslide,9.572847,76.949283
SLD_00154,Landslide,9.576489,76.941443
SLD_00155,Landslide,9.59,77.41
SLD_00156,Landslide,9.608653,77.146307
SLD_00157,Landslide,9.608653,77.146307
SLD_00158,Landslide,9.608653,77.146307
SLD_00159,Landslide,9.608653,77.146307
SLD_00160,Landslide,9.608653,77.146307
SLD_00161,Landslide,9.608653,77.146307
SLD_00162,Landslide,9.609313,77.069258
SLD_00163,Landslide,9.61,77.3
SLD_00164,Landslide,9.61,77.31
SLD_00165,Landslide,9.61,77.42
SLD_00166,Landslide,9.611343,77.148419
SLD_00167,Landslide,9.616867,77.143727
SLD_00168,Landslide,9.618522,76.91768
SLD_00169,Landslide,9.62,77.34
SLD_00170,Landslide,9.62,77.33
SLD_00171,Landslide,9.62,77.31
SLD_00172,Landslide,9.62,77.3
SLD_00173,Landslide,9.62,77.28
SLD_00174,Landslide,9.621675,77.161217
SLD_00175,Landslide,9.627685,77.138111
SLD_00176,Landslide,9.629002,77.137118
SLD_00177,Landslide,9.629116,77.153759
SLD_00178,Landslide,9.629298,77.163697
SLD_00179,Landslide,9.629553,77.1546
SLD_00180,Landslide,9.6306,76.889
SLD_00181,Landslide,9.630856,76.87125
SLD_00182,Landslide,9.63221,77.156202
SLD_00183,Landslide,9.632692,77.162881
SLD_00184,Landslide,9.633309,77.156819
SLD_00185,Landslide,9.633776,77.157286
SLD_00186,Landslide,9.63423,77.154065
SLD_00187,Landslide,9.634359,77.157909
SLD_00188,Landslide,9.635213,77.152987
SLD_00189,Landslide,9.635735,77.151807
SLD_00190,Landslide,9.636032,77.163613
SLD_00191,Landslide,9.637009,77.163437
SLD_00192,Landslide,9.637785,77.170792
SLD_00193,Landslide,9.638197,76.887006
SLD_00194,Landslide,9.638944,76.868236
SLD_00195,Landslide,9.640687,77.166384
SLD_00196,Landslide,9.642869,76.893061
SLD_00197,Landslide,9.643717,76.868422
SLD_00198,Landslide,9.644319,76.896961
SLD_00199,Landslide,9.644494,76.867875
SLD_00200,Landslide,9.645325,76.905017
SLD_00201,Landslide,9.645962,77.076031
SLD_00202,Landslide,9.646878,76.902028
SLD_00203,Landslide,9.648006,76.889603
SLD_00204,Landslide,9.648325,77.094746
SLD_00205,Landslide,9.648758,76.888622
SLD_00206,Landslide,9.65,77.36
SLD_00207,Landslide,9.650014,76.889789
SLD_00208,Landslide,9.653094,76.903419
SLD_00209,Landslide,9.653403,76.903175
SLD_00210,Landslide,9.656433,76.903892
SLD_00211,Landslide,9.65845,76.901369
SLD_00212,Landslide,9.658569,76.902028
SLD_00213,Landslide,9.658686,76.901519
SLD_00214,Landslide,9.659356,76.896719
SLD_00215,Landslide,9.662285,77.092683
SLD_00216,Landslide,9.66703,77.058442
SLD_00217,Landslide,9.667328,77.058371
SLD_00218,Landslide,9.676364,77.049871
SLD_00219,Landslide,9.68,77.39
SLD_00220,Landslide,9.685096,77.05283
SLD_00221,Landslide,9.69,77.39
SLD_00222,Landslide,9.6963,76.8678
SLD_00223,Landslide,9.699908,76.834475
SLD_00224,Landslide,9.7,77.4
SLD_00225,Landslide,9.700267,76.86585
SLD_00226,Landslide,9.7005,77.1069
SLD_00227,Landslide,9.701489,76.882814
SLD_00228,Landslide,9.7015,77.1066
SLD_00229,Landslide,9.707703,76.885786
SLD_00230,Landslide,9.708394,76.849672
SLD_00231,Landslide,9.71,77.41
SLD_00232,Landslide,9.715642,77.064433
SLD_00233,Landslide,9.715763,77.063932
SLD_00234,Landslide,9.72,77.42
SLD_00235,Landslide,9.72,77.41
SLD_00236,Landslide,9.72,77.74
SLD_00237,Landslide,9.728494,76.8422
SLD_00238,Landslide,9.73,77.42
SLD_00239,Landslide,9.731456,76.815833
SLD_00240,Landslide,9.731683,76.821975
SLD_00241,Landslide,9.733878,76.822311
SLD_00242,Landslide,9.73715,76.825961
SLD_00243,Landslide,9.7386,76.8754
SLD_00244,Landslide,9.73867,76.87547
SLD_00245,Landslide,9.7409,76.8724
SLD_00246,Landslide,9.74092,76.87242
SLD_00247,Landslide,9.741439,76.841072
SLD_00248,Landslide,9.742408,76.871481
SLD_00249,Landslide,9.74295,76.820492
SLD_00250,Landslide,9.743239,76.819217
SLD_00251,Landslide,9.743929,76.871225
SLD_00252,Landslide,9.746111,76.867778
SLD_00253,Landslide,9.747819,76.865615
SLD_00254,Landslide,9.749142,76.865103
SLD_00255,Landslide,9.7505,76.8663
SLD_00256,Landslide,9.750875,77.129443
SLD_00257,Landslide,9.751969,76.888502
SLD_00258,Landslide,9.753603,77.135474
SLD_00259,Landslide,9.753889,76.862778
SLD_00260,Landslide,9.754167,76.863333
SLD_00261,Landslide,9.756908,77.125782
SLD_00262,Landslide,9.758115,76.887115
SLD_00263,Landslide,9.761131,77.112451
SLD_00264,Landslide,9.761878,77.11159
SLD_00265,Landslide,9.762402,76.886875
SLD_00266,Landslide,9.763066,77.082958
SLD_00267,Landslide,9.763586,76.882632
SLD_00268,Landslide,9.763762,76.836386
SLD_00269,Landslide,9.764817,77.109877
SLD_00270,Landslide,9.766509,76.881357
